AÑO,O,D,OPERACIÓN,TIPO DE CARGA,PRODUCTO,CARGA (TON/AÑO),ORIGEN_PROVINCIA,DESTINO_PROVINCIA,ORIGEN_REGION,DESTINO_REGION
2013,1,6,Exportación,CONTENEDOR,Alimentos y bebidas,"1.153,2",Petorca,Valparaíso,Valparaíso,Valparaíso
2013,1,6,Exportación,NO CONTENEDOR,Alimentos y bebidas,23,Petorca,Valparaíso,Valparaíso,Valparaíso
2013,1,6,Exportación,CONTENEDOR,Frutas,"9.158,1",Petorca,Valparaíso,Valparaíso,Valparaíso
2013,1,6,Exportación,NO CONTENEDOR,Frutas,"2.615,9",Petorca,Valparaíso,Valparaíso,Valparaíso
2013,1,6,Exportación,CONTENEDOR,Carne y pesca,2.308,Petorca,Valparaíso,Valparaíso,Valparaíso
2013,1,6,Exportación,NO CONTENEDOR,Carne y pesca,"17,8",Petorca,Valparaíso,Valparaíso,Valparaíso
2013,1,6,Exportación,CONTENEDOR,Cobre y minerales metálicos,"10.540,4",Petorca,Valparaíso,Valparaíso,Valparaíso
2013,1,6,Exportación,NO CONTENEDOR,Cobre y minerales metálicos,"5.085,2",Petorca,Valparaíso,Valparaíso,Valparaíso
2013,1,6,Exportación,CONTENEDOR,Productos químicos,"571,5",Petorca,Valparaíso,Valparaíso,Valparaíso
2013,1,6,Exportación,NO CONTENEDOR,Productos químicos,"311,7",Petorca,Valparaíso,Valparaíso,Valparaíso
2013,1,7,Exportación,CONTENEDOR,Alimentos y bebidas,"2.404,6",Petorca,Valparaíso,Valparaíso,Valparaíso
2013,1,7,Exportación,NO CONTENEDOR,Alimentos y bebidas,"0,6",Petorca,Valparaíso,Valparaíso,Valparaíso
2013,1,7,Exportación,CONTENEDOR,Otros productos,"716,4",Petorca,Valparaíso,Valparaíso,Valparaíso
2013,1,7,Exportación,NO CONTENEDOR,Otros productos,"3.152,2",Petorca,Valparaíso,Valparaíso,Valparaíso
2013,1,9,Exportación,CONTENEDOR,Frutas,8.257,Petorca,San Antonio,Valparaíso,Valparaíso
2013,1,9,Exportación,NO CONTENEDOR,Frutas,417,Petorca,San Antonio,Valparaíso,Valparaíso
2013,2,6,Exportación,CONTENEDOR,Alimentos y bebidas,"4.569,3",San Felipe,Valparaíso,Valparaíso,Valparaíso
2013,2,6,Exportación,NO CONTENEDOR,Alimentos y bebidas,"3,6",San Felipe,Valparaíso,Valparaíso,Valparaíso
2013,2,6,Exportación,CONTENEDOR,Frutas,"90.920,5",San Felipe,Valparaíso,Valparaíso,Valparaíso
2013,2,6,Exportación,NO CONTENEDOR,Frutas,"25.970,5",San Felipe,Valparaíso,Valparaíso,Valparaíso
2013,2,6,Exportación,CONTENEDOR,Cobre y minerales metálicos,"7.936,1",San Felipe,Valparaíso,Valparaíso,Valparaíso
2013,2,6,Exportación,NO CONTENEDOR,Cobre y minerales metálicos,"1.216,3",San Felipe,Valparaíso,Valparaíso,Valparaíso
2013,2,6,Exportación,CONTENEDOR,Materiales de Construcción,"1.807,9",San Felipe,Valparaíso,Valparaíso,Valparaíso
2013,2,6,Exportación,NO CONTENEDOR,Materiales de Construcción,"295,3",San Felipe,Valparaíso,Valparaíso,Valparaíso
2013,2,7,Exportación,CONTENEDOR,Frutas,2.042,San Felipe,Valparaíso,Valparaíso,Valparaíso
2013,2,7,Exportación,NO CONTENEDOR,Frutas,"583,3",San Felipe,Valparaíso,Valparaíso,Valparaíso
2013,2,9,Exportación,CONTENEDOR,Alimentos y bebidas,"5.801,3",San Felipe,San Antonio,Valparaíso,Valparaíso
2013,2,9,Exportación,NO CONTENEDOR,Alimentos y bebidas,"10,9",San Felipe,San Antonio,Valparaíso,Valparaíso
2013,2,9,Exportación,CONTENEDOR,Frutas,"45.915,2",San Felipe,San Antonio,Valparaíso,Valparaíso
2013,2,9,Exportación,NO CONTENEDOR,Frutas,"2.319,1",San Felipe,San Antonio,Valparaíso,Valparaíso
2013,2,9,Exportación,CONTENEDOR,Carne y pesca,"1.359,5",San Felipe,San Antonio,Valparaíso,Valparaíso
